elevation,Tmin
165.7696463,9.438660199
327.5919592,8.148918919
381.8527241,8.136589089
102.9613394,12.50743795
74.18178974,10.2881703
28.70070925,12.32365273
64.80176574,12.53962426
330.8549856,8.351128625
316.9386457,8.81676449
166.3431876,11.24597321
167.163124,9.759842351
197.0934551,9.912389025
292.0916712,7.486340246
395.5901548,9.262533514
174.5814561,11.26810532
16.67324735,12.36343106
567.2832568,7.401030487
185.6868946,9.939416428
138.1573897,9.478563613
128.2558419,11.63082303
229.0261919,9.492462536
242.4952472,9.032987835
1217.407921,1.456700774
62.63407882,10.93008071
128.845821,11.38871696
45.75445303,11.26125344
248.9526284,11.32630505
160.5825723,11.04691965
89.8029927,11.88103239
91.93077535,12.11392913
269.5084263,11.33917044
83.58329023,10.61557425
41.9921805,12.19039123
384.9143573,9.086921705
238.7086794,9.855963343
60.54072964,11.12324157
50.0854829,10.99124049
359.2666533,8.089837391
286.3043284,10.1395402
92.31323919,9.880372216
94.24304,10.43241476
94.70352457,10.96091235
133.5877811,11.39436992
249.9669794,9.273174527
281.0248435,9.10241114
170.727385,9.149777818
444.8467584,7.244947179
203.161672,9.444455144
156.8757322,9.94097309
170.9364952,7.564041851
244.6098422,11.18343098
682.6073284,3.632353055
118.4446473,10.57995414
250.3334293,10.05084549
191.0840525,11.89447405
124.4334419,10.93238801
247.9725867,10.72428099
319.328408,8.308758335
238.6679034,11.11471895
68.03269772,11.55879713
308.7869473,8.573357299
326.0519393,10.41922675
399.4133662,9.360876337
229.6654064,9.737145962
91.72018628,11.78180135
71.04842977,10.03609602
241.1499878,10.66775203
70.82736615,11.09311449
114.2586699,11.51133308
22.77960388,11.09450208
218.3250622,10.68206038
84.83673993,12.83849314
262.8220448,10.43133941
957.4470839,3.468596647
104.0111948,11.66332671
43.86543538,11.43385366
61.70183338,11.04657367
189.6380089,11.50144296
607.9310373,7.427652596
329.1671716,7.586982021
138.4669688,10.95249076
80.64259721,10.39481494
134.5638404,9.688087601
179.5749691,10.44194145
151.7728289,9.500628161
84.00725024,9.901413907
23.3499777,13.61352298
608.8856405,7.530694501
53.13557982,10.28826335
202.0916608,8.660157018
54.31919951,11.59722538
117.5279778,13.03004507
132.3412411,12.10776837
94.4233889,10.22714494
456.3634658,7.184177643
220.2083837,8.103919211
168.8709542,11.417288
201.2154447,10.27893037
223.0321461,9.984918107
32.33659845,9.145772124
390.3801069,8.67969706
54.12440854,12.08477845
153.5868008,12.36156716
35.7363095,12.01445221
28.38143109,10.99128324
118.7452417,10.94112247
403.7226551,8.573217355
171.6360616,11.45838814
31.71615812,11.20038803
117.4705264,10.96355162
103.7845479,11.3479683
256.8590684,11.08266782
710.5083081,6.724158048
37.98519261,12.09276593
226.9168715,10.77831593
357.200719,7.690368894
91.24447814,12.09891236
119.7426022,10.76751994
199.0734322,11.76163117
403.2537419,8.816626517
352.8565022,11.15917532
378.9470522,8.262914036
42.07612515,9.75969898
159.8479427,10.10817414
222.1767304,11.11441724
219.7036301,9.659218694
107.4398171,12.35139637
107.3102172,11.48015082
326.3012699,7.358964137
96.50501471,11.9338214
21.54065152,12.18858067
447.2393595,7.432847827
91.40619718,11.62750261
240.7359555,9.606057382
402.750783,8.840149727
77.53159816,13.51017567
279.2757823,9.435919712
360.4252184,8.424725093
105.8976244,12.6424692
47.01434305,13.34044193
91.45793276,10.94948029
286.8279123,9.341293567
406.3470924,8.400576765
212.6107584,9.30118881
76.9534382,11.42916091
116.3791112,10.26506908
227.1029392,11.22438532
120.4332995,11.83379368
453.4406509,7.662233421
84.48814014,10.48870616
345.6993149,10.55799547
342.1290698,8.27653501
75.56153034,11.25275283
164.2378203,11.62055818
95.13668337,12.12587023
42.38876979,10.82750916
132.8745866,11.45987479
395.5885563,8.011015669
229.906889,10.12559608
244.0042819,11.55301463
204.8880918,11.65134426
376.0055895,8.304757751
214.9665002,7.961585345
53.82333829,12.38420146
130.7728178,11.07243156
52.97725788,10.8505684
124.1157771,12.68715883
102.8535227,12.99014932
63.29057982,9.921924688
326.0676964,8.894918823
76.18838981,10.161
124.8439695,10.94877111
307.4158834,8.164052485
71.7796786,11.55816428
267.3340025,9.870780053
135.0714675,11.96043922
358.4752543,6.904890214
349.2751267,8.151087976
130.8822457,10.31996646
296.5745977,9.830207458
116.6747598,9.452395753
61.61119239,12.28613249
28.94942609,11.24561308
188.1902832,9.052133645
192.1435499,9.380737143
43.19781965,11.2385087
166.0977619,8.789394699
204.9257373,9.748194311
62.68931505,11.87313332
173.3354347,10.34882495
140.4539639,9.832476999
698.3280241,4.493504284
486.1681958,9.490319467
96.10448846,10.76896651
215.2234134,10.9159874
181.9190672,10.23704005
125.6926271,10.16195985
213.8144048,10.81123352
64.58399857,12.96889813
119.9176147,12.05444405
